0:0:0:0:0:0:0:1 - - [09/May/2024:01:37:59 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [09/May/2024:01:38:01 +0530] "GET /Vehicle_rentalDb/viewRegistrations?id=3 HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [09/May/2024:01:39:46 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:01:39:53 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [09/May/2024:01:39:54 +0530] "GET /Vehicle_rentalDb/viewRegistrations?id=3 HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [09/May/2024:01:49:16 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:01:49:22 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [09/May/2024:01:49:23 +0530] "GET /Vehicle_rentalDb/addVehicle.jsp?id=3&result=a HTTP/1.1" 200 2643
0:0:0:0:0:0:0:1 - - [09/May/2024:01:49:38 +0530] "POST /Vehicle_rentalDb/sR HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [09/May/2024:01:51:51 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:01:51:57 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [09/May/2024:01:51:58 +0530] "GET /Vehicle_rentalDb/addVehicle.jsp?id=3&result=a HTTP/1.1" 200 2643
0:0:0:0:0:0:0:1 - - [09/May/2024:01:52:01 +0530] "POST /Vehicle_rentalDb/sR HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [09/May/2024:01:58:07 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:01:58:13 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [09/May/2024:01:58:16 +0530] "GET /Vehicle_rentalDb/addVehicle.jsp?id=3&result=a HTTP/1.1" 200 2643
0:0:0:0:0:0:0:1 - - [09/May/2024:01:58:19 +0530] "POST /Vehicle_rentalDb/sR HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [09/May/2024:01:58:44 +0530] "GET /Vehicle_rentalDb/viewRegistrations?id=3 HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [09/May/2024:02:02:30 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:02:02:37 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [09/May/2024:02:02:39 +0530] "GET /Vehicle_rentalDb/viewRegistrations?id=3 HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [09/May/2024:02:07:37 +0530] "GET /Vehicle_rentalDb/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [09/May/2024:02:07:43 +0530] "POST /Vehicle_rentalDb/log HTTP/1.1" 200 2027
0:0:0:0:0:0:0:1 - - [09/May/2024:02:07:45 +0530] "GET /Vehicle_rentalDb/viewVehicles?id=3 HTTP/1.1" 404 784
